customer_id,company,industry,city,country,customer_since,account_manager
C0001,Cipla 1,IT,Bengaluru,India,2022-07-18,Priya Shah
C0002,HCL 2,Retail,Delhi,India,2021-07-29,Vivek Singh
C0003,TCS 3,Manufacturing,Hyderabad,India,2021-03-07,Rahul Sharma
C0004,TCS 4,Retail,Mumbai,India,2023-11-01,Vivek Singh
C0005,Infosys 5,Manufacturing,Mumbai,India,2025-01-06,Vivek Singh
C0006,Apollo Hospitals 6,Retail,Hyderabad,India,2024-04-21,Amit Patel
C0007,Flipkart 7,IT,Ahmedabad,India,2021-11-23,Neha Gupta
C0008,Reliance Retail 8,Healthcare,Mumbai,India,2022-03-17,Amit Patel
C0009,TCS 9,IT,Hyderabad,India,2021-07-18,Amit Patel
C0010,Zomato 10,Healthcare,Pune,India,2022-06-26,Rahul Sharma
C0011,Asian Paints 11,Banking,Pune,India,2021-09-13,Neha Gupta
C0012,TCS 12,Manufacturing,Chennai,India,2024-07-11,Vivek Singh
C0013,Swiggy 13,Healthcare,Pune,India,2022-01-29,Rahul Sharma
C0014,Infosys 14,Retail,Ahmedabad,India,2022-08-16,Rahul Sharma
C0015,Zomato 15,Retail,Ahmedabad,India,2021-07-26,Neha Gupta
C0016,Tech Mahindra 16,Banking,Delhi,India,2023-01-18,Priya Shah
C0017,Reliance Retail 17,Healthcare,Mumbai,India,2024-10-04,Amit Patel
C0018,Asian Paints 18,IT,Pune,India,2024-07-24,Priya Shah
C0019,ICICI Bank 19,Retail,Mumbai,India,2023-08-05,Neha Gupta
C0020,Tech Mahindra 20,Manufacturing,Mumbai,India,2024-11-03,Amit Patel
C0021,Zomato 21,IT,Mumbai,India,2021-03-07,Amit Patel
C0022,Apollo Hospitals 22,Healthcare,Bengaluru,India,2022-03-09,Vivek Singh
C0023,Swiggy 23,Healthcare,Mumbai,India,2024-09-04,Neha Gupta
C0024,Apollo Hospitals 24,Banking,Mumbai,India,2022-06-27,Priya Shah
C0025,HCL 25,Manufacturing,Pune,India,2022-06-23,Vivek Singh
C0026,Apollo Hospitals 26,Manufacturing,Hyderabad,India,2023-01-12,Priya Shah
C0027,Wipro 27,Manufacturing,Hyderabad,India,2021-07-06,Rahul Sharma
C0028,Zomato 28,IT,Mumbai,India,2024-07-09,Priya Shah
C0029,Flipkart 29,Banking,Pune,India,2021-05-11,Neha Gupta
C0030,Apollo Hospitals 30,Manufacturing,Hyderabad,India,2023-12-20,Amit Patel
C0031,ICICI Bank 31,IT,Delhi,India,2025-01-16,Rahul Sharma
C0032,Cipla 32,Manufacturing,Ahmedabad,India,2022-07-01,Amit Patel
C0033,TCS 33,Healthcare,Hyderabad,India,2021-11-20,Neha Gupta
C0034,Infosys 34,Healthcare,Pune,India,2022-01-01,Vivek Singh
C0035,Swiggy 35,IT,Ahmedabad,India,2024-07-04,Amit Patel
C0036,Zomato 36,Manufacturing,Pune,India,2022-02-12,Priya Shah
C0037,Reliance Retail 37,Retail,Pune,India,2023-12-23,Rahul Sharma
C0038,L&T 38,Healthcare,Hyderabad,India,2021-02-09,Rahul Sharma
C0039,Swiggy 39,Healthcare,Ahmedabad,India,2022-09-22,Priya Shah
