invoice,customer_id,product_id,invoice_date,quantity,amount,region
INV000001,C0027,P019,2023-06-24,16,53840,West
INV000002,C0076,P008,2024-08-09,2,6154,North
INV000003,C0098,P001,2023-11-18,15,69870,West
INV000004,C0078,P014,2024-02-25,7,26313,West
INV000005,C0447,P002,2024-06-15,5,7860,South
INV000006,C0288,P011,2024-06-22,16,35632,West
INV000007,C0161,P006,2024-06-29,15,60420,East
INV000008,C0280,P012,2024-09-16,9,39069,West
INV000009,C0099,P008,2024-07-25,9,27693,East
INV000010,C0116,P010,2024-12-22,10,39020,South
INV000011,C0354,P016,2024-05-06,11,24860,East
INV000012,C0287,P009,2023-05-05,10,31800,West
INV000013,C0459,P013,2025-03-02,12,30096,South
INV000014,C0149,P002,2025-01-01,10,15720,North
INV000015,C0178,P015,2025-02-04,9,24354,West
INV000016,C0110,P007,2023-10-05,18,61758,East
INV000017,C0071,P004,2025-01-28,20,46080,South
INV000018,C0125,P002,2023-08-20,17,26724,South
INV000019,C0027,P004,2023-12-05,14,32256,West
INV000020,C0052,P005,2024-07-17,1,2609,South
INV000021,C0209,P016,2024-10-28,16,36160,South
INV000022,C0388,P010,2023-10-20,11,42922,North
INV000023,C0465,P003,2023-08-26,19,91466,North
INV000024,C0468,P006,2025-05-07,14,56392,South
INV000025,C0479,P002,2025-03-17,13,20436,West
INV000026,C0096,P010,2023-01-10,2,7804,East
INV000027,C0291,P020,2023-12-10,4,15816,East
INV000028,C0233,P018,2024-05-20,17,35479,South
INV000029,C0436,P017,2023-10-07,15,51660,South
INV000030,C0415,P004,2023-06-16,11,25344,West
INV000031,C0332,P009,2023-01-15,6,19080,East
INV000032,C0405,P010,2024-11-21,19,74138,South
INV000033,C0090,P020,2025-04-26,13,51402,West
INV000034,C0264,P011,2024-02-15,3,6681,North
INV000035,C0095,P005,2023-11-28,16,41744,South
INV000036,C0004,P009,2023-08-30,13,41340,West
INV000037,C0386,P009,2023-11-06,11,34980,North
INV000038,C0134,P012,2023-03-05,8,34728,North
INV000039,C0239,P010,2024-02-20,6,23412,East
INV000040,C0354,P004,2024-01-12,10,23040,South
INV000041,C0113,P005,2023-06-06,16,41744,West
INV000042,C0383,P020,2024-03-01,12,47448,West
INV000043,C0388,P018,2025-02-19,7,14609,South
INV000044,C0349,P020,2024-06-22,3,11862,West
INV000045,C0271,P012,2024-07-31,3,13023,North
INV000046,C0032,P018,2023-07-27,17,35479,South
INV000047,C0085,P011,2024-03-28,17,37859,North
INV000048,C0349,P007,2024-05-15,19,65189,North
INV000049,C0461,P017,2025-04-08,15,51660,North
INV000050,C0233,P005,2024-03-01,17,44353,West
INV000051,C0289,P002,2024-04-18,18,28296,East
INV000052,C0371,P001,2023-09-18,13,60554,North
INV000053,C0382,P007,2023-03-16,19,65189,North
INV000054,C0217,P012,2024-07-08,3,13023,North
INV000055,C0479,P003,2023-02-02,16,77024,East
INV000056,C0210,P006,2025-02-23,5,20140,West
INV000057,C0192,P013,2025-06-09,15,37620,West
INV000058,C0193,P003,2023-05-17,18,86652,East
INV000059,C0061,P006,2024-02-07,18,72504,South
INV000060,C0373,P008,2025-02-13,1,3077,North
INV000061,C0153,P015,2024-03-10,18,48708,West
INV000062,C0422,P008,2024-04-16,8,24616,East
INV000063,C0080,P009,2025-06-15,7,22260,North
INV000064,C0017,P014,2025-02-23,20,75180,North
INV000065,C0124,P007,2023-04-14,3,10293,North
INV000066,C0229,P020,2023-09-08,2,7908,North
INV000067,C0206,P015,2024-07-06,8,21648,South
INV000068,C0387,P002,2024-05-30,5,7860,East
INV000069,C0120,P019,2024-08-14,11,37015,East
INV000070,C0122,P010,2024-11-07,5,19510,South
INV000071,C0212,P010,2023-03-04,9,35118,South
