ticket_id,customer_id,priority,status,created
T00001,C0407,Low,Open,2025-05-16
T00002,C0121,Low,In Progress,2025-06-07
T00003,C0131,Medium,Closed,2025-04-02
T00004,C0385,High,Open,2025-03-01
T00005,C0327,Medium,Closed,2025-05-09
T00006,C0085,Low,In Progress,2025-01-31
T00007,C0472,Medium,Open,2025-02-14
T00008,C0459,High,Closed,2025-06-04
T00009,C0396,High,In Progress,2025-01-25
T00010,C0449,Medium,In Progress,2025-03-26
T00011,C0206,Medium,Open,2025-02-04
T00012,C0061,Low,Closed,2025-05-06
T00013,C0439,Low,Open,2025-05-20
T00014,C0072,High,Open,2025-03-07
T00015,C0312,Low,Closed,2025-05-10
T00016,C0338,High,Closed,2025-02-13
T00017,C0165,High,In Progress,2025-01-08
T00018,C0015,High,Closed,2025-01-13
T00019,C0235,Medium,Closed,2025-04-05
T00020,C0100,Medium,Open,2025-04-10
T00021,C0478,High,In Progress,2025-04-12
T00022,C0172,Medium,Open,2025-01-10
T00023,C0444,High,In Progress,2025-01-22
T00024,C0292,High,In Progress,2025-02-01
T00025,C0186,Medium,In Progress,2025-06-23
T00026,C0487,Low,In Progress,2025-05-17
T00027,C0268,Medium,Open,2025-05-18
T00028,C0071,Low,Closed,2025-01-24
T00029,C0493,Low,Closed,2025-04-06
T00030,C0330,High,Closed,2025-05-02
T00031,C0100,High,Open,2025-04-29
T00032,C0360,Low,In Progress,2025-03-25
T00033,C0200,Medium,In Progress,2025-02-03
T00034,C0199,Low,Closed,2025-01-21
T00035,C0386,Low,In Progress,2025-03-01
T00036,C0391,Low,Open,2025-01-01
T00037,C0163,High,Open,2025-02-20
T00038,C0388,Medium,Closed,2025-04-22
T00039,C0410,High,Closed,2025-01-20
T00040,C0420,Low,Closed,2025-03-03
T00041,C0480,Medium,Closed,2025-03-25
T00042,C0240,Medium,Open,2025-06-22
T00043,C0022,High,In Progress,2025-05-14
T00044,C0240,High,Closed,2025-05-27
T00045,C0145,Medium,In Progress,2025-06-19
T00046,C0137,High,Open,2025-02-13
T00047,C0369,Medium,Closed,2025-01-24
T00048,C0252,Medium,Open,2025-03-24
T00049,C0471,Medium,In Progress,2025-03-29
T00050,C0057,Low,In Progress,2025-02-14
T00051,C0424,High,Closed,2025-06-24
T00052,C0292,Medium,Closed,2025-03-07
T00053,C0432,Low,In Progress,2025-04-26
T00054,C0195,Medium,Open,2025-02-06
T00055,C0086,High,Open,2025-02-26
T00056,C0440,High,In Progress,2025-03-24
T00057,C0167,High,In Progress,2025-01-12
T00058,C0137,Low,Open,2025-05-04
T00059,C0466,High,Closed,2025-02-20
T00060,C0031,Low,Closed,2025-05-26
T00061,C0365,Low,Closed,2025-04-18
T00062,C0173,Medium,Closed,2025-06-19
T00063,C0057,Low,In Progress,2025-04-30
T00064,C0302,Medium,Open,2025-01-09
T00065,C0231,High,In Progress,2025-05-24
T00066,C0127,Low,In Progress,2025-02-17
T00067,C0183,Medium,In Progress,2025-04-15
T00068,C0356,High,Open,2025-02-01
T00069,C0083,Low,In Progress,2025-05-03
T00070,C0039,Low,Closed,2025-03-22
T00071,C0498,High,In Progress,2025-01-08
T00072,C0215,Low,Open,2025-06-15
T00073,C0387,High,Open,2025-01-27
T00074,C0166,Low,In Progress,2025-02-25
T00075,C0101,Medium,Open,2025-05-08
T00076,C0189,Medium,Closed,2025-03-31
T00077,C0485,High,In Progress,2025-03-23
T00078,C0334,Low,In Progress,2025-03-18
T00079,C0019,High,Open,2025-04-28
T00080,C0022,High,Closed,2025-03-06
T00081,C0008,Low,Closed,2025-01-17
T00082,C0074,Low,Open,2025-04-24
T00083,C0074,Low,Open,2025-06-29
T00084,C0263,Medium,In Progress,2025-03-05
T00085,C0055,Medium,Closed,2025-06-26
T00086,C0137,High,Closed,2025-06-17
T00087,C0144,High,Closed,2025-04-21
T00088,C0214,Low,In Progress,2025-06-23
T00089,C0347,Low,Closed,2025-01-09
T00090,C0415,Low,In Progress,2025-04-16
T00091,C0360,High,Closed,2025-04-14
T00092,C0179,High,Open,2025-03-05
T00093,C0136,High,Closed,2025-03-01
T00094,C0171,High,In Progress,2025-02-19
T00095,C0337,Low,Closed,2025-06-09
T00096,C0461,Low,In Progress,2025-05-29
T00097,C0349,High,In Progress,2025-04-04
T00098,C0322,Low,Closed,2025-06-26
T00099,C0485,High,Open,2025-01-12
T00100,C0269,Low,In Progress,2025-04-13
T00101,C0363,Low,In Progress,2025-02-19
T00102,C0381,Medium,In Progress,2025-05-19
T00103,C0069,Medium,Closed,2025-02-15
T00104,C0357,High,Open,2025-06-05
T00105,C0478,Medium,Open,2025-03-13
T00106,C0318,High,In Progress,2025-04-26
T00107,C0356,High,In Progress,2025-06-30
T00108,C0339,High,Closed,2025-05-07
T00109,C0067,Low,Open,2025-02-06
T00110,C0201,High,Closed,2025-05-17
T00111,C0431,Medium,Open,2025-04-02
T00112,C0359,Low,In Progress,2025-05-21
T00113,C0224,High,Open,2025-06-04
T00114,C0452,Low,In Progress,2025-06-27
T00115,C0079,Medium,Open,2025-06-21
T00116,C0143,Medium,In Progress,2025-05-04
T00117,C0433,High,Open,2025-03-16
T00118,C0122,Low,In Progress,2025-03-08
T00119,C0189,High,Closed,2025-04-21
T00120,C0468,Low,In Progress,2025-02-10
T00121,C0126,Low,Closed,2025-01-08
T00122,C0410,Medium,Open,2025-06-07
T00123,C0036,Low,Closed,2025-01-03
T00124,C0393,Low,In Progress,2025-01-26
T00125,C0150,High,In Progress,2025-05-15
T00126,C0440,Low,In Progress,2025-06-30
T00127,C0196,High,Open,2025-03-23
T00128,C0139,Medium,Closed,2025-05-22
T00129,C0229,High,Closed,2025-03-20
T00130,C0261,Low,Closed,2025-01-19
T00131,C0364,Medium,In Progress,2025-01-23
T00132,C0455,Low,In Progress,2025-05-12
T00133,C0264,Medium,Open,2025-04-07
T00134,C0293,Low,Open,2025-01-19
T00135,C0258,High,Open,2025-03-15
T00136,C0095,Medium,In Progress,2025-04-10
T00137,C0044,Medium,In Progress,2025-03-09
T00138,C0335,Medium,In Progress,2025-06-15
T00139,C0467,Low,Open,2025-03-05
T00140,C0352,High,Open,2025-04-12
T00141,C0486,Medium,Closed,2025-06-23
T00142,C0079,Medium,Open,2025-06-16
T00143,C0074,Medium,In Progress,2025-03-13
T00144,C0178,Medium,Open,2025-05-03
T00145,C0320,Low,Open,2025-03-31
T00146,C0250,High,Open,2025-06-10
T00147,C0435,High,Open,2025-04-29
T00148,C0079,Low,In Progress,2025-06-02
T00149,C0426,High,In Progress,2025-03-02
T00150,C0048,Medium,In Progress,2025-04-29
T00151,C0261,Low,Open,2025-04-11
T00152,C0257,High,Open,2025-01-14
T00153,C0090,High,Open,2025-05-19
T00154,C0064,Low,In Progress,2025-05-31
T00155,C0255,Medium,Closed,2025-04-24
T00156,C0064,High,Open,2025-03-31
T00157,C0284,High,Closed,2025-02-10
T00158,C0350,High,Open,2025-05-30
T00159,C0144,Low,Closed,2025-01-15
T00160,C0256,Low,In Progress,2025-04-14
T00161,C0241,High,In Progress,2025-03-20
